a2c
Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	2.866293
1	Clockticks	11124000000
1	Instructions Retired	13617000000
1	CPI Rate	0.816920
1	MUX Reliability	0.973572
1	Retiring	30.2
2	Light Operations	26.8
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
5	128-bit FP Vector	0.0
5	256-bit FP Vector	0.0
3	Memory Operations	10.4
3	Fused Instructions	3.4
3	Non Fused Branches	2.8
3	Nop Instructions	0.1
3	Other	10.1
2	Heavy Operations	3.5
3	Few Uops Instructions	2.6
3	Microcode Sequencer	0.9
4	Assists	0.0
4	CISC	0.9
1	Front-End Bound	34.8
2	Front-End Latency	25.6
3	ICache Misses	12.0
3	ITLB Misses	5.5
3	Branch Resteers	12.5
4	Mispredicts Resteers	6.1
4	Clears Resteers	0.0
4	Unknown Branches	6.3
3	DSB Switches	2.7
3	Length Changing Prefixes	0.0
3	MS Switches	0.7
2	Front-End Bandwidth	9.1
3	Front-End Bandwidth MITE	12.1
4	Decoder-0 Alone	4.4
3	Front-End Bandwidth DSB	2.7
3	Front-End Bandwidth LSD	0.0
3	(Info) DSB Coverage	30.2
3	(Info) LSD Coverage	0.0
3	(Info) DSB Misses	100.0
1	Bad Speculation	10.8
2	Branch Mispredict	10.8
2	Machine Clears	0.0
1	Back-End Bound	24.2
2	Memory Bound	10.4
3	L1 Bound	5.5
4	DTLB Overhead	100.0
5	Load STLB Hit	100.0
5	Load STLB Miss	3.2
4	Loads Blocked by Store Forwarding	0.9
4	Lock Latency	0.7
4	Split Loads	0.0
4	4K Aliasing	0.4
4	FB Full	0.0
3	L2 Bound	3.1
3	L3 Bound	8.2
4	Contested Accesses	0.0
4	Data Sharing	0.0
4	L3 Latency	14.1
4	SQ Full	0.0
3	DRAM Bound	9.2
4	Memory Bandwidth	13.7
4	Memory Latency	21.2
3	Store Bound	0.0
4	Store Latency	3.3
4	False Sharing	0.0
4	Split Stores	0.0
4	DTLB Store Overhead	2.9
5	Store STLB Hit	2.6
5	Store STLB Miss	0.3
2	Core Bound	13.8
3	Divider	0.0
3	Port Utilization	17.9
4	Cycles of 0 Ports Utilized	17.4
5	Serializing Operations	2.4
6	Slow Pause	0.0
5	Mixing Vectors	0.0
4	Cycles of 1 Port Utilized	13.0
4	Cycles of 2 Ports Utilized	13.0
4	Cycles of 3+ Ports Utilized	31.1
5	ALU Operation Utilization	24.2
6	Port 0	19.8
6	Port 1	20.5
6	Port 5	19.5
6	Port 6	36.9
5	Load Operation Utilization	19.6
6	Port 2	24.9
6	Port 3	25.6
5	Store Operation Utilization	23.9
6	Port 4	23.9
6	Port 7	12.6
4	Vector Capacity Usage (FPU)	0.0
1	Average CPU Frequency	4250683369.430646
1	Total Thread Count	10
1	Paused Time	0.0
0	Effective CPU Utilization	11.4
1	Average Effective CPU Utilization	0.911 out of 8
0	Collection and Platform Info	
1	Application Command Line	python "a2c.py" 
1	Operating System	Microsoft Windows 10
1	Computer Name	DESKTOP-NEBAMNN
1	Result Size	23252273
1	Collection start time	17:25:46 13/04/2025 UTC
1	Collection stop time	17:25:49 13/04/2025 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) microarchitecture code named Coffeelake
2	Frequency	3000010350
2	Logical CPU Count	8
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
