ddpg
Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	2.878541
1	Clockticks	11088000000
1	Instructions Retired	13578000000
1	CPI Rate	0.816615
1	MUX Reliability	0.987014
1	Retiring	30.1
2	Light Operations	27.0
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
5	128-bit FP Vector	0.0
5	256-bit FP Vector	0.0
3	Memory Operations	10.7
3	Fused Instructions	3.2
3	Non Fused Branches	2.3
3	Nop Instructions	0.1
3	Other	10.7
2	Heavy Operations	3.1
3	Few Uops Instructions	2.0
3	Microcode Sequencer	1.1
4	Assists	0.0
4	CISC	1.1
1	Front-End Bound	38.4
2	Front-End Latency	23.3
3	ICache Misses	12.0
3	ITLB Misses	5.1
3	Branch Resteers	13.8
4	Mispredicts Resteers	6.5
4	Clears Resteers	0.0
4	Unknown Branches	7.2
3	DSB Switches	2.1
3	Length Changing Prefixes	0.0
3	MS Switches	0.7
2	Front-End Bandwidth	15.1
3	Front-End Bandwidth MITE	11.8
4	Decoder-0 Alone	4.8
3	Front-End Bandwidth DSB	2.6
3	Front-End Bandwidth LSD	0.0
3	(Info) DSB Coverage	28.4
3	(Info) LSD Coverage	0.0
3	(Info) DSB Misses	100.0
1	Bad Speculation	10.8
2	Branch Mispredict	10.8
2	Machine Clears	0.0
1	Back-End Bound	20.7
2	Memory Bound	10.0
3	L1 Bound	8.6
4	DTLB Overhead	100.0
5	Load STLB Hit	100.0
5	Load STLB Miss	3.4
4	Loads Blocked by Store Forwarding	1.1
4	Lock Latency	0.7
4	Split Loads	0.0
4	4K Aliasing	0.4
4	FB Full	0.0
3	L2 Bound	2.4
3	L3 Bound	8.6
4	Contested Accesses	0.0
4	Data Sharing	0.0
4	L3 Latency	14.4
4	SQ Full	0.0
3	DRAM Bound	9.6
4	Memory Bandwidth	18.2
4	Memory Latency	18.5
3	Store Bound	0.0
4	Store Latency	3.0
4	False Sharing	0.0
4	Split Stores	0.0
4	DTLB Store Overhead	3.1
5	Store STLB Hit	2.8
5	Store STLB Miss	0.3
2	Core Bound	10.7
3	Divider	0.0
3	Port Utilization	19.6
4	Cycles of 0 Ports Utilized	13.0
5	Serializing Operations	2.4
6	Slow Pause	0.0
5	Mixing Vectors	0.0
4	Cycles of 1 Port Utilized	14.1
4	Cycles of 2 Ports Utilized	14.1
4	Cycles of 3+ Ports Utilized	26.7
5	ALU Operation Utilization	22.5
6	Port 0	17.8
6	Port 1	19.2
6	Port 5	18.2
6	Port 6	35.0
5	Load Operation Utilization	19.2
6	Port 2	24.0
6	Port 3	25.0
5	Store Operation Utilization	23.6
6	Port 4	23.6
6	Port 7	13.0
4	Vector Capacity Usage (FPU)	0.0
1	Average CPU Frequency	4236927231.205196
1	Total Thread Count	12
1	Paused Time	0.0
0	Effective CPU Utilization	11.4
1	Average Effective CPU Utilization	0.909 out of 8
0	Collection and Platform Info	
1	Application Command Line	python "ddpg.py" 
1	Operating System	Microsoft Windows 10
1	Computer Name	DESKTOP-NEBAMNN
1	Result Size	23625675
1	Collection start time	17:21:01 13/04/2025 UTC
1	Collection stop time	17:21:03 13/04/2025 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) microarchitecture code named Coffeelake
2	Frequency	3000010434
2	Logical CPU Count	8
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
