ppo
Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	2.914272
1	Clockticks	11205000000
1	Instructions Retired	13614000000
1	CPI Rate	0.823050
1	MUX Reliability	0.951187
1	Retiring	30.9
2	Light Operations	26.9
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
5	128-bit FP Vector	0.0
5	256-bit FP Vector	0.0
3	Memory Operations	10.0
3	Fused Instructions	3.0
3	Non Fused Branches	2.2
3	Nop Instructions	0.1
3	Other	11.6
2	Heavy Operations	4.0
3	Few Uops Instructions	3.1
3	Microcode Sequencer	0.9
4	Assists	0.0
4	CISC	0.9
1	Front-End Bound	36.5
2	Front-End Latency	24.4
3	ICache Misses	12.9
3	ITLB Misses	5.7
3	Branch Resteers	13.2
4	Mispredicts Resteers	6.8
4	Clears Resteers	0.0
4	Unknown Branches	6.4
3	DSB Switches	2.4
3	Length Changing Prefixes	0.0
3	MS Switches	0.7
2	Front-End Bandwidth	12.1
3	Front-End Bandwidth MITE	11.4
4	Decoder-0 Alone	4.1
3	Front-End Bandwidth DSB	2.4
3	Front-End Bandwidth LSD	0.0
3	(Info) DSB Coverage	28.1
3	(Info) LSD Coverage	0.0
3	(Info) DSB Misses	100.0
1	Bad Speculation	10.3
2	Branch Mispredict	10.3
2	Machine Clears	0.0
1	Back-End Bound	22.3
2	Memory Bound	10.3
3	L1 Bound	6.8
4	DTLB Overhead	100.0
5	Load STLB Hit	100.0
5	Load STLB Miss	3.5
4	Loads Blocked by Store Forwarding	1.3
4	Lock Latency	0.0
4	Split Loads	0.0
4	4K Aliasing	0.4
4	FB Full	0.0
3	L2 Bound	2.7
3	L3 Bound	7.8
4	Contested Accesses	0.0
4	Data Sharing	0.0
4	L3 Latency	15.8
4	SQ Full	0.3
3	DRAM Bound	11.5
4	Memory Bandwidth	15.3
4	Memory Latency	21.0
3	Store Bound	0.0
4	Store Latency	3.3
4	False Sharing	0.0
4	Split Stores	0.0
4	DTLB Store Overhead	2.6
5	Store STLB Hit	2.3
5	Store STLB Miss	0.3
2	Core Bound	12.0
3	Divider	0.0
3	Port Utilization	18.7
4	Cycles of 0 Ports Utilized	16.3
5	Serializing Operations	2.7
6	Slow Pause	0.0
5	Mixing Vectors	0.0
4	Cycles of 1 Port Utilized	13.2
4	Cycles of 2 Ports Utilized	13.2
4	Cycles of 3+ Ports Utilized	26.8
5	ALU Operation Utilization	21.2
6	Port 0	17.6
6	Port 1	18.3
6	Port 5	16.6
6	Port 6	32.2
5	Load Operation Utilization	17.6
6	Port 2	22.0
6	Port 3	23.1
5	Store Operation Utilization	21.4
6	Port 4	21.4
6	Port 7	11.5
4	Vector Capacity Usage (FPU)	0.0
1	Average CPU Frequency	4247550766.654662
1	Total Thread Count	10
1	Paused Time	0.0
0	Effective CPU Utilization	11.3
1	Average Effective CPU Utilization	0.905 out of 8
0	Collection and Platform Info	
1	Application Command Line	python "ppo.py" 
1	Operating System	Microsoft Windows 10
1	Computer Name	DESKTOP-NEBAMNN
1	Result Size	23475511
1	Collection start time	17:14:45 13/04/2025 UTC
1	Collection stop time	17:14:48 13/04/2025 UTC
1	Collector Type	Event-based sampling driver
1	CPU	
2	Name	Intel(R) microarchitecture code named Coffeelake
2	Frequency	3000010421
2	Logical CPU Count	8
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
