td3
Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	7.012388
1	Paused Time	0.0
0	Effective CPU Utilization	10.3% (0.826 out of 8 logical CPUs)
1	Total Thread Count	13
2	Thread Oversubscription	0s (0.0% of CPU Time)
1	Wait Time with poor CPU Utilization	55.390s (100.0% of Wait Time)
2	Top Waiting Objects	
2	Sync Object	Wait Time with poor CPU Utilization	(% from Object Wait Time)(%)	Wait Count
2	Multiple Objects	54.267264	100.0	19
2	Stream 0x1ef9a566	0.291661	100.0	3
2	Manual Reset Event 0x6f0bc0ce	0.122918	100.0	1
2	Thread 0x56f3af36	0.109324	100.0	1
2	Manual Reset Event 0x070632e6	0.102991	100.0	1
2	[Others]	0.496317	100.0	16834
1	Spin and Overhead Time	0.151s (2.5% of CPU Time)
2	Top Functions with Spin or Overhead Time	
2	Function	Module	Spin and Overhead Time	(% from CPU Time)(%)
2	WaitForSingleObjectEx	KERNELBASE.dll	0.109966	1.8
2	SwitchToThread	KERNELBASE.dll	0.026308	0.4
2	std::_Rng_abort	msvcp140.dll	0.015167	0.3
0	Collection and Platform Info	
1	Application Command Line	python "td3.py" 
1	Operating System	Microsoft Windows 10
1	Computer Name	DESKTOP-NEBAMNN
1	Result Size	21774952
1	Collection start time	17:31:34 13/04/2025 UTC
1	Collection stop time	17:31:42 13/04/2025 UTC
1	Collector Type	User-mode sampling and tracing
1	CPU	
2	Name	Intel(R) microarchitecture code named Coffeelake
2	Frequency	3000010405
2	Logical CPU Count	8
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	not detected
